"seq_no","battle_name","ref_no","year","attacker_id","defender_id","initial_attacker_str","initial_defender_str","attacker_losses","attacker_loss_type","defender_losses","defender_loss_type","battle_duration","wina"
31,"Katzbach",17,1813,"France","German",79000,95000,10000,"W",3400,"W",0.25,0
32,"Gross-Beeren",17,1813,"France","German",17200,31500,1500,"W",1000,"W",0.125,0
33,"Dennewitz",17,1813,"France","German",58000,54000,10000,"W",7300,"W",0.2916666667,0
34,"Leipzig",17,1813,"Russia","France",301500,171000,48000,"W",45500,"W",3,1
35,"La Rothiere",17,1814,"Austria","France",79300,41000,4660,"W",5000,"W",0.2916666667,1
36,"Laon",17,1814,"France","German",52000,60000,12000,"W",8000,"W",0.4166666667,0
37,"Lundy's Lane",15,1814,"USA","Britain",2000,3045,743,"W",643,"W",0.2083333333,0
38,"Waterloo",17,1815,"France","German",72250,145200,24000,"W",22100,"W",0.3333333333,0
39,"Kulewtscha",17,1829,"Russia","Turkey",28000,40000,2500,"W",3000,"W",0.25,1
40,"Palo Alto",15,1846,"Mexico","USA",3000,2288,1000,"L",170,"W",0.5,0
41,"Buena Vista",15,1847,"Mexico","USA",14000,4757,1700,"NA",756,"M",0.5,0
42,"Cerro Gordo",15,1847,"USA","Mexico",8500,12000,431,"W",1200,"W","NA",1
43,"Contreras",15,1847,"USA","Mexico",4500,4000,100,"L",700,"K","NA",1
44,"St. Lucia",17,1848,"Piedmont","Austria",41000,19000,760,"W",350,"W",0.2916666667,0
45,"Custozza",17,1848,"Austria","Piedmont",55000,75000,900,"W",870,"W",0.4166666667,1
46,"Mortara",17,1849,"Austria","Piedmont",15960,25240,190,"W",550,"W",0.1041666667,1
47,"Novara",17,1849,"Sardinia","Austria",60000,41000,2940,"W",2260,"W",0.375,0
48,"Komorn",17,1849,"Hungary","Austria",50000,34000,1200,"W",800,"W",0.25,0
49,"Temesvar",17,1849,"Austria","Hungary",28000,54000,200,"W",400,"W",0.2916666667,1
50,"Alma",17,1854,"France","Russia",57000,33600,4310,"W",5065,"W",0.1458333333,1
51,"Inkerman",17,1854,"Russia","Britain",36000,18000,8770,"W",4240,"W",0.375,0
52,"Tschernaya",17,1855,"Russia","France",63000,39360,8270,"W",1750,"W",0.1666666667,0
53,"Magenta",17,1859,"France","Austria",48000,61260,3880,"W",5730,"W",0.375,1
54,"Solferino",17,1859,"France","Austria",151200,133250,14420,"W",13100,"W",0.4791666667,1
55,"First Bull Run",15,1861,"USA","CSA",18500,18000,1584,"W",1982,"M",0.4166666667,0
56,"Gaines' Mill",15,1862,"CSA","USA",65000,30000,6000,"W",6837,"M",0.2916666667,1
57,"Seven Day's Battle",15,1862,"CSA","USA",90000,105000,19195,"W",9796,"W",2.9166666667,1
58,"Second Bull Run",15,1862,"CSA","USA",55000,70000,9474,"M",10199,"W",1.25,1
59,"Antietam",15,1862,"USA","CSA",70000,39200,15029,"W",11305,"W",0.4166666667,1
60,"Fredericksburg",15,1862,"USA","CSA",122000,78500,10208,"W",5209,"L",0.4166666667,0
61,"Stone River",11,1862,"CSA","USA",37712,44800,9239,"W",9220,"W",0.8333333333,0
62,"Chancellorsville",15,1863,"CSA","USA",55000,132000,10960,"W",11128,"W",1,1
63,"Chickamauga",15,1863,"CSA","USA",71551,56965,15000,"W",11700,"W",0.6666666667,1
64,"Chattanooga",15,1863,"USA","CSA",56359,40929,5465,"W",2541,"W",0.7083333333,1
65,"Doppler Schanzen",17,1864,"German","Denmark",25000,18000,1200,"W",1210,"W",0.1458333333,1
66,"Wilderness",15,1864,"USA","CSA",101895,61025,14283,"W",7750,"W",0.6666666667,1
67,"Franklin",15,1864,"CSA","USA",27000,28000,4550,"W",1222,"W",0.2916666667,0
68,"Langensalza",17,1866,"Hannover","German",16180,8640,1430,"NA",810,"NA","NA",1
69,"Nachod",17,1866,"Austria","German",31000,24000,3646,"NA",1122,"NA",0.25,0
70,"Trautenau",17,1866,"Austria","German",26900,32000,3611,"NA",1252,"NA",0.5416666667,1
71,"Skalitz",17,1866,"Austria","German",22300,30000,3290,"W",1369,"W",0.1666666667,0
72,"Jlein",17,1866,"Austria","German",44000,28000,2970,"W",1559,"W",0.3333333333,0
73,"Koenniggratz",17,1866,"Austria","German",215134,220982,23598,"W",8894,"W",0.3333333333,0
74,"Worth",17,1870,"German","France",82100,48500,9270,"W",8000,"W",0.3541666667,1
75,"Spichern",17,1870,"German","France",34700,27600,4500,"W",1980,"W",0.3541666667,1
76,"Mars-la-Tour",17,1870,"France","German",113500,63000,11460,"W",14830,"W",0.4166666667,0
77,"Gravelotte",17,1870,"German","France",187600,112900,19640,"W",7850,"W",0.375,1
78,"Beaumont",17,1870,"France","German",58700,67700,3500,"W",3350,"W",0.3125,0
79,"Sedan",17,1870,"France","German",90000,154000,17000,"W",8220,"W",0.5208333333,0
80,"Beaune-la-Roland",17,1870,"France","German",61500,41000,1300,"W",900,"W",0.3333333333,0
81,"Orleans",17,1870,"German","France",93700,60700,1750,"W",2000,"W","NA",1
82,"Colomby-Borny",11,1870,"France","German",50700,30500,3600,"W",4800,"W",0.1666666667,1
83,"Servigny",11,1870,"France","German",120000,60000,3500,"L",3000,"L",0.5,0
84,"Lisaine",17,1871,"France","German",140000,45000,7500,"W",1310,"W","NA",1
85,"Plevna I",17,1877,"Russia","Turkey",10000,14000,2850,"W",2500,"W",0.1666666667,0
86,"Plevna II",17,1877,"Russia","Turkey",32500,20000,7330,"W",3800,"W",0.4166666667,0
87,"Plevna III",17,1877,"Russia","Turkey",95000,35000,16000,"W",4000,"W",6,0
88,"Plevna",17,1877,"Turkey","Russia",30000,120000,5000,"W",1900,"W",0.0833333333,0
89,"Driniumor River",16,1944,"Jap","USA",20000,40000,10000,"L",3000,"W",30,0
90,"Guam",16,1944,"USA","Jap",54891,20000,7083,"M",9000,"W",20,1
91,"Saipan",16,1944,"USA","Jap",67500,26000,16500,"M",24000,"W",25,1
92,"Iwo Jima",9,1945,"USA","Jap",73000,21500,20860,"M",21500,"M",36,1
,"NOTE 1:","L = Identified as ""losses.""",,,,,,,,,,,
,,"M = Killed, wounded, and missing",,,,,,,,,,,
,,"W = Killed and wounded",,,,,,,,,,,
,,"K = Killed",,,,,,,,,,,
,,"NA = Not identified as to type.",,,,,,,,,,,
